GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PFMHR015IMPL,com.bbva.pfmh.lib.r015.impl,PFMHR015Impl,10,406,8,14,4,84,8,17,0,14
PFMHR015IMPL,com.bbva.pfmh.lib.r015.impl,PFMHR015Abstract,4,7,0,0,2,3,1,2,1,2
