GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PFMHR010IMPL,com.bbva.pfmh.lib.r010.impl.cics,FMC7Connection,5,544,15,45,2,124,15,32,0,17
PFMHR010IMPL,com.bbva.pfmh.lib.r010.impl.utils,ValidationUtils,0,36,2,10,0,5,2,7,0,3
PFMHR010IMPL,com.bbva.pfmh.lib.r010.impl,PFMHR010Impl,0,25,1,3,0,7,1,4,0,3
PFMHR010IMPL,com.bbva.pfmh.lib.r010.impl,PFMHR010Abstract,0,15,0,0,0,7,0,4,0,4
