GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PFMHT010-01-PE,com.bbva.pfmh,PFMHT01001PETransaction,0,79,0,2,0,25,0,4,0,3
PFMHT010-01-PE,com.bbva.pfmh,AbstractPFMHT01001PETransaction,5,8,0,0,2,3,1,2,1,2
